Mean,Std Dev,Q1,Q2,Q3
0.9868473666107312,0.01739729143477675,0.9787234042553192,1.0,1.0
0.9860808392356337,0.017908060566295403,0.978494623655914,1.0,1.0
0.9857464729557399,0.018081800524637492,0.9787234042553192,0.9992244679088,1.0
0.9855741707941345,0.01814665909010887,0.9787234042553192,0.9953910760567444,1.0
0.9854413904147803,0.01808212431937383,0.9787234042553192,0.9894998274807764,1.0
0.9850501543666375,0.018275832886740038,0.978494623655914,0.9827651471820881,1.0
0.9843564714939447,0.018533678736321647,0.978494623655914,0.9793814432989691,1.0
0.9833929909768486,0.018767251146370775,0.978494623655914,0.9791666666666667,1.0
0.9822478759586943,0.019076703755597252,0.978494623655914,0.9791666666666667,1.0
0.9808276511495186,0.019422018716980703,0.978494623655914,0.9791666666666667,1.0
0.9789508326094107,0.02001981420953179,0.9782608695652173,0.9789473684210526,1.0
0.9763403308673311,0.021032019135982898,0.9610939384633451,0.9787234042553192,0.999907433352351
0.9728313128128123,0.02253269668979408,0.9578947368421054,0.978494623655914,0.984528361802862
0.9681327511726203,0.02449732272973517,0.956989247311828,0.9782608695652173,0.9791666666666667
0.962064503668156,0.026565120058679025,0.9438055063593935,0.9633645822747375,0.9787234042553192
0.9544219981705272,0.02823021361705159,0.9368421052631579,0.9574468085106382,0.9782608695652173
0.945068030319999,0.029469027108834093,0.9246196983128974,0.9496393529965099,0.9656250303985312
0.9346658105335411,0.030577008094726528,0.9157894736842105,0.9363271625278768,0.956989247311828
0.9229763492073939,0.03191721715572799,0.8987977792004711,0.9275990952173511,0.9460967789191923
0.9099775920631609,0.03369492383054922,0.886835595345785,0.913978494623656,0.935483870967742
0.8946765833699569,0.03540096079609561,0.8709677419354838,0.8951980908106598,0.9201048064612545
0.8768969085852425,0.03699396836898055,0.8516493693548154,0.8762886597938144,0.9029447854460476
0.8564421567723006,0.0379749134380751,0.8302973007768375,0.855395780138786,0.882197185418088
0.8332067699546113,0.03865423175875849,0.8072369787309687,0.8313743241966554,0.8578804548672111
0.806564872801829,0.038985195821465285,0.7807984519169804,0.8038811365294036,0.8302842112334795
0.7761682283093339,0.03934611103877242,0.7511101413492526,0.7730382218227245,0.7991658095710112
0.7420022553666555,0.03954356761643266,0.717379632681012,0.7386760204811422,0.7645990919750645
0.7048992297655685,0.03928852561772153,0.6807275602665621,0.7015882845994005,0.7273372040260948
0.6658146014836486,0.03852822879305401,0.6417525743489628,0.6624609607016334,0.688219159893246
0.625256162211673,0.03755402624338698,0.6021187441493466,0.6226757916359728,0.6474240107248703
0.5838135476574144,0.03665441824899244,0.5614818548591696,0.5818840431970242,0.605431545404612
0.5420630537334868,0.035938699507783285,0.5206847727964814,0.5407118716064517,0.5632622274787185
0.5002453482868375,0.03544833766157891,0.4792870229741959,0.4992476458021632,0.5214055547503949
0.4583508677042635,0.034900006269009756,0.43801641583161455,0.4576385885516713,0.47908427711025925
0.41647027074886844,0.034114568290951004,0.39647897058101317,0.41582429571583857,0.43651330344454814
0.3749297051934574,0.033278494085354146,0.3552542862435958,0.37432564305836286,0.39464042723789844
0.333783326672298,0.032543517934450275,0.3147937126416167,0.33321655353287366,0.3531053003604815
0.2925474591284565,0.031950424205221636,0.2741301570299666,0.2920425883549907,0.3114105228304491
0.25081211464883685,0.03137263238448686,0.2324671517129833,0.2506104478014489,0.26980795889651277
0.20862189645990178,0.031088444492146376,0.1899044257267961,0.20868607411028878,0.2277261373651906
0.1663289070494496,0.03102914024994095,0.1471812745858634,0.16659438682576122,0.18568633414447908
0.12441045382497808,0.030724637821771098,0.10512666772465465,0.12478580196456046,0.1439426744084779
0.08303623939153244,0.030201973525283612,0.06460797260501591,0.08318102261410062,0.10190944854256036
0.04204102894023378,0.029650070006401304,0.02321673592482832,0.042016796331168796,0.06063784310662709
0.0012933902853244233,0.028934969476685172,-0.017364823696883726,0.0008324178828855071,0.019908209979256204
-0.03921000315614441,0.027842348805316774,-0.05736481513710515,-0.03978440494269724,-0.02147092092866679
-0.07962328461632952,0.026482138537873266,-0.09694938892111675,-0.0804013911692571,-0.06295476771521165
-0.12012673448427151,0.025380546687560825,-0.13723422428285217,-0.12101144606756764,-0.10425771141237114
-0.16078475314229557,0.024724795129078905,-0.1777196006339735,-0.16199144394311268,-0.14543180740625833
-0.20165408016380143,0.02416899197180381,-0.21810468456493026,-0.2026982593151697,-0.1865575135440094
-0.24262658912865373,0.023611550921844544,-0.2586512759156445,-0.2437985676803584,-0.22807553470397837
-0.2835178268792557,0.023315815126794488,-0.29936769642597416,-0.2847102361651822,-0.26940429658007425
-0.3243955944270633,0.023349819973503983,-0.33984055218398523,-0.32543035252839514,-0.3109894551640062
-0.3655765935751693,0.023454600057470566,-0.3811496215080301,-0.36648573623599623,-0.35228542938232477
-0.40688738943740177,0.023594462140642977,-0.4231366721836187,-0.407998742906615,-0.39294211066628787
-0.4479134673030602,0.023562498352823678,-0.46430545261316597,-0.4489767697507493,-0.433537762904163
-0.4885185036000379,0.023255907111094275,-0.5050861366397468,-0.4895420349229305,-0.474341489241519
-0.5290301924105356,0.02298454762718127,-0.5453432245391865,-0.5306873100341709,-0.5154563036859147
-0.5695817489180598,0.022853653538653977,-0.5857423131509978,-0.5713752150576683,-0.5559550882543144
-0.6099353935266523,0.02274978906661275,-0.6260949566368881,-0.6114118346084774,-0.5963704834716147
-0.6497917541513152,0.02273219653924043,-0.665453870974913,-0.651279892758402,-0.6364103368673975
-0.6887868565929817,0.02273024509339133,-0.7042306698844555,-0.6907707971547629,-0.6754211346427952
-0.7263243913188058,0.02271233831777514,-0.7419342093060789,-0.7286814397531187,-0.7132150335260724
-0.761849336060398,0.022596946386132466,-0.777555848147987,-0.7644288998412823,-0.7489995931246893
-0.7947608225872435,0.0222785386575434,-0.8103170982764827,-0.7973692599727757,-0.7821259986299985
-0.8243702248748572,0.02198405720002945,-0.8397969046344699,-0.8274652199201302,-0.8120607778034442
-0.8499578023425179,0.021818609555559938,-0.8653772012560886,-0.8532039959441378,-0.8379852702701006
-0.8712163677547794,0.021276682617367603,-0.8869553856618131,-0.8741290628729677,-0.8592260640513176
-0.8890495840651936,0.02059461216038814,-0.9033888994491114,-0.8926662111861682,-0.8766829633370445
-0.9045471603633405,0.019997912584555202,-0.9166666666666666,-0.9097974548498279,-0.8929295097775642
-0.9178873112617292,0.01948356408753994,-0.9347826086956522,-0.9183017646849467,-0.9097724801142788
-0.9295449274073112,0.018851554821408337,-0.9382082108627113,-0.935483870967742,-0.9166666666666666
-0.9397197789159153,0.018284136539454952,-0.956989247311828,-0.9381443298969072,-0.9347826086956522
-0.9487455283608351,0.01754386790481207,-0.9583333333333334,-0.9565217391304348,-0.9368421052631579
-0.9567159471815931,0.017161607593653722,-0.9680399516966024,-0.9578947368421052,-0.9518990359979537
-0.9637076743063011,0.016656639292839455,-0.9787234042553191,-0.9628720834536026,-0.956989247311828
-0.9695618483194259,0.016205766935346814,-0.9789473684210527,-0.9782608695652174,-0.9578947368421052
-0.9747072192352645,0.01624823754513978,-0.9791666666666666,-0.9787234042553191,-0.967567886885093
-0.9790154594446061,0.016384366878515112,-0.9894040780184697,-0.9789473684210527,-0.9782608695652174
-0.982466671024563,0.016298617402700576,-1.0,-0.9791666666666666,-0.978494623655914
-0.9852132523470085,0.015996378680050573,-1.0,-0.979381443298969,-0.978494623655914
-0.9872682463134007,0.015719753539628192,-1.0,-0.9977534033022893,-0.9787234042553191
